item_name,item_price,gender,img_url,original_listing_url
Ann Taylor Women's Grace Straight Pants,$65.40,women,https://encrypted-tbn1.gstatic.com/shopping?q=tbn:ANd9GcQVNj-0opoq33p6q0AfzKBnOz2IaEnELYXBTZoi0DNpfuCtQd8Xi4Y2T4-zaqX-v9ZsJjoSHhhK2JalVLRhvMTrYScatR0MuviIStRSpFZr1r-cNSzZQk5esQ,https://www.google.com/search?udm=28&q=Ann+Taylor+Women%27s+Grace+Straight+Pants
Ann Taylor Women's Jayne Trouser,$71.40,women,https://encrypted-tbn1.gstatic.com/shopping?q=tbn:ANd9GcRx2cusHILbKFUfAKvo5N2D0R2CZlPYDv3WLjdiAmMv8WP69jff-hbKbbmLfF0ct-RxPbf6DwF3n0wcUmVNLRMTW0SbM7TXlriFc_7ewxrN--gTlBmWe_5_8Q,https://www.google.com/search?udm=28&q=Ann+Taylor+Women%27s+Jayne+Trouser
Ann Taylor Women's Natalie Pants,$65.40,women,https://encrypted-tbn3.gstatic.com/shopping?q=tbn:ANd9GcQoUPrSntpBfsrnDALNO4VR2Z0v46sRGUioPkB_--43g5BwojuzcmZpGZFEQejmm8Z9IM_GIxMIRQGmDevKRsmkgddCyxXedObkXvdQxdclFub6pwp7mTbVaro,https://www.google.com/search?udm=28&q=Ann+Taylor+Women%27s+Natalie+Pants
Ann Taylor Women's Perfect Wide-leg Pants,$83.40,women,https://encrypted-tbn0.gstatic.com/shopping?q=tbn:ANd9GcRRnHD1ln3EZsqMHtrAgdLG-Y-Se-YnNhhHpSn7BgsogwMjE9qAK5JSqen8FO0qxGp8nPXG7DjsHK4QCYkdYTdgrgfhju2yxZVFrhmVZK2i2B4XaAxY3w8OnA,https://www.google.com/search?udm=28&q=Ann+Taylor+Women%27s+Perfect+Wide-leg+Pants
Ann Taylor Women's Pleated Straight Pants in Textured Crepe,$83.40,women,https://encrypted-tbn0.gstatic.com/shopping?q=tbn:ANd9GcTY4Fa4AEY8egglDvQOqkI1I0cAYVhEulh2DzDvCtcFALOlLl-pTiCiYq9SsjA6uk-V8e5CdVbwLfzHRw0_rnn9mju1AwQZtEQ0y87KDvQbK9h6EwqThdJunDo,https://www.google.com/search?udm=28&q=Ann+Taylor+Women%27s+Pleated+Straight+Pants+in+Textured+Crepe
Ann Taylor Women's Pleated Wide-leg Pants,$89.40,women,https://encrypted-tbn0.gstatic.com/shopping?q=tbn:ANd9GcT2DdvQQpkTUlLdpqvtXHtLgDkbgCaBIbo0_M0S1n4nBYIxFWnsHVvJtYRfNbHw0PJ-hQC8ydrsHyFWtRVI3KDeD-LpP1Ck2_EUV09SDtgwApj7-1kam-l30g,https://www.google.com/search?udm=28&q=Ann+Taylor+Women%27s+Pleated+Wide-leg+Pants
Ann Taylor Women's Sophia Pant,$71.40,women,https://encrypted-tbn0.gstatic.com/shopping?q=tbn:ANd9GcQR2uC0LenZLLU9fX7kyb3Jx90YAnZtMbQ8RAi0Ns4TuEb_-trnNn4yKAxp0JO0byD2TbjGw4dcNeFteLte8o9hr_GVRUX6Bj4V6Iqop31Usry0uC-pfPSsshs,https://www.google.com/search?udm=28&q=Ann+Taylor+Women%27s+Sophia+Pant
Ann Taylor Women's Weekend Everyday Wide-leg Pants,$83.40,women,https://encrypted-tbn2.gstatic.com/shopping?q=tbn:ANd9GcQXFXuYcSNz2YUFmEoONsI_BVbZWgrFfYiL-qJ4XAoF3Fix4WywRtfXhS95c3DYQbFwLLYFeXbJS1vJubzoioc0iXrsS8TXY0lg9w-C8qb6kW5m90V_eSAygQ4,https://www.google.com/search?udm=28&q=Ann+Taylor+Women%27s+Weekend+Everyday+Wide-leg+Pants
Aritzia Women's Markova Pants,$148.00,women,https://encrypted-tbn0.gstatic.com/shopping?q=tbn:ANd9GcR0uS7HxH4WHpKpSgwcR57UfClPShoCXiLLgyHtbQVOlFi0D3WmGgGnqhURmHTnBwt0Ig0VVxlyuZe5Qb42xSnY1GuetYmRS-Fd1kui3zzSFr86CHa5hVAxnS0,https://www.google.com/search?udm=28&q=Aritzia+Women%27s+Markova+Pants
Athleta Women's Brooklyn Mid Rise Ankle Pants,$69.30,women,https://encrypted-tbn3.gstatic.com/shopping?q=tbn:ANd9GcS80QbCjHxbBZ6I_cmIOyED9ht6bCO8lx3Uo4NbkPEIoDyiodCx_4vEJqKJl1_-TmCbatHMv0tecNmfkfKDeISBdr8u8x7qd5KdwLQ1X8LQz-oLz8R1mgW5,https://www.google.com/search?udm=28&q=Athleta+Women%27s+Brooklyn+Mid+Rise+Ankle+Pants
